1 20.132787
1 20.262810
1 20.290579
1 20.027230
1 19.826251
1 19.928382
1 19.979968
1 19.968713
1 20.439716
1 20.365981
2 10.153539
2 10.122405
2 10.229383
2 10.151171
2 10.126256
2 10.256142
2 10.205953
2 10.057041
2 10.072408
2 10.083549
3 6.729964
3 6.755242
3 6.775222
3 6.728652
3 6.793582
3 6.783474
3 6.743125
3 6.741449
3 6.748017
3 6.778631
4 5.095930
4 5.075463
4 5.061936
4 5.035206
4 5.067546
4 5.011741
4 5.124105
4 5.047158
4 5.051813
4 5.084816
6 3.446802
6 3.384730
6 3.452851
6 3.453759
6 3.408300
6 3.434122
6 3.468927
6 3.405552
6 3.421398
6 3.395967
8 3.547828
8 3.861819
8 3.821113
8 3.535157
8 3.520054
8 3.439089
8 3.728345
8 3.400405
8 3.809165
8 3.610157
